id,name,category,description
1,"Quantum Communicator","Communication","A handheld device that uses quantum entanglement for instant, lag-free communication across any distance in the universe."
2,"Holo-Projector 3000","Entertainment","Portable holographic projector capable of rendering 8K 3D environments in mid-air without a screen."
3,"Neural Link Headset","Health","Non-invasive headset that monitors brain activity and provides real-time stress relief through sonic waves."
4,"Gravity Boots","Travel","Footwear containing micro-thrusters that allow the wearer to hover and glide over rough terrain."
5,"Smart Fabric Suit","Fashion","Clothing made of adaptive nanomaterials that change color and thermal properties based on the wearer's environment."
6,"Aqua-Breather Mask","Exploration","Compact face mask that extracts oxygen directly from water, allowing unlimited underwater breathing."
7,"Solar Skin Patch","Energy","A thin, adhesive patch that absorbs solar energy and wirelessly charges personal electronic devices."
8,"Universal Translator Earbud","Communication","In-ear device that translates over 5000 languages and dialects in real-time with 99% accuracy."
9,"Nano-Repair Kit","Tools","A canister of nanobots programmed to repair cracks and damage in metal, glass, and plastic surfaces instantly."
10,"Time-Lapse Camera","Photography","Camera that can capture events from the past by analyzing residual light photons in the environment (experimental)."
11,"Levitation Desk","Furniture","Work desk that floats at adjustable heights and includes a built-in holographic display surface."
12,"Nutri-Synth Chef","Food","Kitchen appliance that synthesizes gourmet meals from basic nutrient cartridges in under 3 minutes."
13,"Atmosphere Generator","Home","Device that purifies air and generates custom scents and humidity levels for the perfect home environment."
14,"Memory Crystal","Storage","Data storage medium capable of holding 100 petabytes of data in a crystal the size of a thumb drive."
15,"Exo-Glove","Work","Power-assist glove that increases grip strength by 500%, ideal for heavy lifting and construction work."
16,"Dream Recorder","Health","Bedside device that monitors REM sleep and records dreams for playback on holographic screens."
17,"Teleportation Pad (Mini)","Travel","Short-range teleportation device for transporting small inanimate objects up to 10 meters."
18,"Forcefield Umbrella","Weather","Handle that generates a rain-repelling forcefield dome, keeping the user perfectly dry without fabric."
19,"Bio-Luminescent Plant Kit","Home","Genetically modified house plants that emit a soft, adjustable glow, replacing the need for electric lamps."
20,"AI Personal Assistant Drone","Tech","Tennis-ball-sized drone that follows you, takes photos, carries keys, and answers questions."
